,U,D,L,R
"(0, 1, 1)",-0.511,-0.318,-0.333,-0.490
"(0, 1, 2)",-0.371,-1.496,-0.270,-0.466
"(0, 1, 3)",-0.209,-0.420,-0.248,-0.408
"(0, 1, 4)",-0.234,-0.435,-0.200,-2.997
"(0, 1, 5)",-3.705,-0.291,-0.312,-3.048
"(0, 2, 1)",-0.522,-0.520,-0.498,-1.514
"(0, 2, 2)",-0.152,-0.312,-0.166,-0.281
"(0, 2, 3)",-0.404,-0.428,-2.811,-0.301
"(0, 2, 4)",-0.215,-0.244,-0.222,-0.389
"(0, 2, 5)",-2.880,-0.272,-0.222,-0.128
"(0, 3, 1)",-0.634,-2.999,-0.799,-0.532
"(0, 3, 2)",-3.000,7.174,-0.573,2.582
"(0, 3, 3)",-0.513,9.794,-0.294,15.195
"(0, 3, 4)",-0.227,3.531,-0.262,29.854
"(0, 3, 5)",-0.083,57.506,-0.160,-0.079
"(0, 4, 1)",-0.573,-0.062,-3.423,9.223
"(0, 4, 2)",0.485,1.546,-2.333,21.704
"(0, 4, 3)",10.868,0.700,5.247,39.407
"(0, 4, 4)",0.209,27.026,4.968,98.935
"(0, 5, 1)",-4.333,27.594,31.811,89.664
"(0, 5, 2)",17.456,22.019,22.422,74.768
"(0, 5, 3)",12.251,34.792,0.898,73.446
"(0, 5, 4)",85.330,26.017,22.996,2.168
"(0, 5, 5)",40.644,-3.304,-0.066,-1.300
"(1, 1, 1)",-0.068,0.000,-0.113,-0.117
"(1, 1, 2)",-0.309,11.370,-0.005,-0.148
"(1, 1, 3)",-0.245,0.666,0.234,-0.155
"(1, 1, 4)",-0.501,-0.332,-0.366,-2.598
"(1, 1, 5)",-3.924,-0.285,-0.300,-3.125
"(1, 2, 1)",-0.113,-0.150,-0.152,0.256
"(1, 2, 3)",-0.143,19.252,72.236,5.408
"(1, 2, 4)",-0.461,4.132,36.809,0.583
"(1, 2, 5)",-3.000,-0.926,1.810,-0.898
"(1, 3, 1)",-0.265,-1.182,-0.068,1.605
"(1, 3, 2)",39.751,5.674,0.135,10.081
"(1, 3, 3)",50.117,7.737,18.276,9.811
"(1, 3, 4)",12.412,1.610,49.467,0.442
"(1, 3, 5)",0.148,-0.558,18.051,0.008
"(1, 4, 1)",0.058,-0.147,-1.509,-0.153
"(1, 4, 2)",16.695,-0.247,-2.935,-0.011
"(1, 4, 3)",61.621,2.772,4.333,3.608
"(1, 4, 4)",24.889,-0.796,59.131,11.150
"(1, 4, 5)",5.975,-4.607,72.024,24.941
"(1, 5, 1)",-1.477,-0.326,-0.385,-0.368
"(1, 5, 2)",-0.269,-0.360,-0.340,-0.475
"(1, 5, 3)",25.565,-0.695,-0.620,0.331
"(1, 5, 4)",4.653,-0.951,5.016,-3.000
"(1, 5, 5)",5.529,-3.225,-0.594,-4.698
"(2, 1, 1)",-0.788,10.881,-0.941,4.086
"(2, 1, 2)",-0.851,15.716,-0.461,-0.869
"(2, 1, 3)",-0.899,-0.725,-0.906,-0.794
"(2, 1, 4)",-0.987,-0.703,-0.849,-3.000
"(2, 1, 5)",-3.991,-0.345,-0.311,-0.647
"(2, 2, 1)",1.135,58.391,6.216,8.598
"(2, 2, 2)",-1.100,12.879,53.580,3.343
"(2, 2, 3)",-0.703,0.547,20.975,-0.689
"(2, 2, 4)",-0.698,-0.542,-0.345,-0.592
"(2, 2, 5)",-2.999,-0.650,-0.643,-0.675
"(2, 3, 1)",24.298,63.204,28.539,6.569
"(2, 3, 2)",2.421,18.884,12.695,0.361
"(2, 3, 3)",-0.477,-0.326,3.916,-0.552
"(2, 3, 4)",-0.453,-0.484,-0.494,-0.568
"(2, 3, 5)",-0.679,-0.571,-0.557,-0.840
"(2, 4, 2)",0.842,-0.230,33.159,-0.099
"(2, 4, 3)",-0.387,-0.149,0.472,-0.397
"(2, 4, 4)",-0.431,-0.208,-0.346,-0.331
"(2, 4, 5)",-0.542,-2.993,-0.300,-0.458
"(2, 5, 1)",0.208,-0.001,-0.008,0.000
"(2, 5, 2)",0.244,-0.097,-0.008,-0.266
"(2, 5, 3)",-0.273,-0.327,-0.299,-0.221
"(2, 5, 4)",-0.243,-0.241,-0.368,-1.405
"(2, 5, 5)",-0.161,-0.141,-0.290,-1.755
"(3, 1, 1)",-1.190,-1.318,-1.299,-1.282
"(3, 1, 2)",-1.207,-1.203,-1.181,-1.084
"(3, 1, 3)",-1.047,-1.041,-1.131,-0.967
"(3, 1, 4)",-0.980,-0.961,-0.999,-3.004
"(3, 1, 5)",-3.537,-0.301,-0.322,-1.638
"(3, 2, 1)",-1.383,-1.323,-1.441,-1.291
"(3, 2, 2)",-1.061,0.024,-1.100,-1.073
"(3, 2, 3)",-1.016,-0.868,-0.924,-0.979
"(3, 2, 4)",-0.949,-0.700,-0.795,-0.840
"(3, 2, 5)",-3.000,-0.704,-0.710,-0.594
"(3, 3, 1)",-1.557,-0.156,-1.471,-1.394
"(3, 3, 2)",-1.038,12.370,-1.105,-0.438
"(3, 3, 3)",-0.909,1.168,-0.877,4.154
"(3, 3, 4)",-0.660,6.965,-0.578,-0.410
"(3, 3, 5)",-0.572,-0.149,-0.509,-0.584
"(3, 4, 1)",-1.651,2.271,2.242,39.508
"(3, 4, 2)",1.632,29.401,4.735,12.934
"(3, 4, 3)",0.794,4.298,5.140,22.268
"(3, 4, 4)",0.912,33.983,4.202,0.482
"(3, 4, 5)",-0.177,11.710,-0.298,-0.368
"(3, 5, 1)",-1.203,-1.259,-1.274,19.626
"(3, 5, 2)",13.075,1.745,3.207,37.024
"(3, 5, 3)",2.594,4.831,6.432,43.452
"(3, 5, 4)",0.592,16.272,8.604,45.935
"(4, 1, 1)",-0.506,-0.480,-0.412,-0.251
"(4, 1, 2)",-0.418,-0.351,-0.237,-0.514
"(4, 1, 3)",-0.266,-0.317,-0.302,-0.035
"(4, 1, 4)",-0.277,-0.011,-0.240,12.049
"(4, 2, 1)",-0.427,-0.543,-0.416,-0.523
"(4, 2, 2)",-0.494,-0.372,-0.483,-0.432
"(4, 2, 3)",-0.330,-0.467,-0.333,0.646
"(4, 2, 4)",2.941,-0.139,-0.136,12.093
"(4, 2, 5)",25.000,7.967,0.948,1.824
"(4, 3, 1)",-0.588,-0.604,-0.418,-0.566
"(4, 3, 2)",-0.545,-0.603,-0.604,-0.472
"(4, 3, 3)",-0.556,-0.558,-0.585,-0.425
"(4, 3, 4)",6.891,-0.476,-0.500,0.041
"(4, 3, 5)",23.747,4.227,0.314,8.818
"(4, 4, 1)",-0.647,-0.729,-0.885,-0.658
"(4, 4, 2)",-0.762,-0.705,-0.658,-0.677
"(4, 4, 3)",-0.761,-0.856,-0.716,-0.862
"(4, 4, 4)",1.679,-1.074,-0.861,0.331
"(4, 4, 5)",22.495,-0.843,-0.666,11.634
"(4, 5, 1)",-0.685,-0.797,-0.963,-0.764
"(4, 5, 2)",-0.785,-0.787,-0.730,-0.924
"(4, 5, 3)",-1.000,-1.045,-0.965,-0.758
"(4, 5, 4)",-1.131,-1.351,-1.277,0.461
"(4, 5, 5)",21.227,1.432,-1.397,8.278
"(5, 1, 5)",0.000,0.000,0.000,0.000