State\Action,U,D,L,R
"(0, 1, 1)",-0.059,-1.755,-2.094,-0.513
"(0, 1, 2)",-0.245,-0.293,-0.057,-2.047
"(0, 1, 3)",-2.128,-1.783,-1.836,-1.650
"(0, 1, 4)",-0.022,-0.386,-1.595,-3.862
"(0, 1, 5)",-5.811,-1.811,-1.501,-3.473
"(0, 2, 1)",-1.962,-6.707,-2.538,-1.389
"(0, 2, 2)",0.069,4.018,-1.685,-2.084
"(0, 2, 3)",-1.292,-5.463,0.289,-0.549
"(0, 2, 4)",-2.608,0.485,-1.315,4.277
"(0, 2, 5)",-2.630,17.972,-0.211,-0.282
"(0, 3, 1)",-5.843,-7.954,-8.151,1.105
"(0, 3, 2)",-2.452,23.020,0.317,7.774
"(0, 3, 3)",-1.793,20.673,-0.625,5.705
"(0, 3, 4)",1.384,4.201,0.679,20.097
"(0, 3, 5)",12.236,28.126,1.553,24.147
"(0, 4, 1)",-5.473,41.838,-6.719,-5.417
"(0, 4, 2)",25.364,16.972,4.699,51.606
"(0, 4, 3)",16.377,27.132,24.570,68.601
"(0, 4, 4)",9.411,19.494,35.607,89.513
"(0, 5, 1)",23.562,27.698,16.516,83.222
"(0, 5, 2)",52.000,1.180,13.960,52.916
"(0, 5, 3)",11.989,15.125,-0.558,70.109
"(0, 5, 4)",69.199,64.059,31.096,4.133
"(0, 5, 5)",0.899,-0.127,7.252,0.014
"(1, 1, 1)",1.746,1.306,1.465,3.570
"(1, 1, 2)",5.021,7.016,-0.896,4.063
"(1, 1, 3)",8.548,10.864,4.274,0.054
"(1, 1, 4)",0.000,6.434,0.028,-0.215
"(1, 1, 5)",0.457,0.193,4.904,1.961
"(1, 2, 1)",4.294,0.401,18.903,45.907
"(1, 2, 3)",8.527,5.762,52.111,16.009
"(1, 2, 4)",2.171,9.305,37.773,8.907
"(1, 2, 5)",2.026,7.570,18.294,2.672
"(1, 3, 1)",44.328,0.214,19.520,0.031
"(1, 3, 2)",44.588,7.862,43.405,2.906
"(1, 3, 3)",26.007,39.742,31.941,9.852
"(1, 3, 4)",30.764,18.856,53.901,14.152
"(1, 3, 5)",16.245,20.413,48.529,9.335
"(1, 4, 1)",1.132,2.055,-0.102,4.416
"(1, 4, 2)",46.797,13.236,-1.954,8.883
"(1, 4, 3)",35.963,10.240,34.651,-2.750
"(1, 4, 4)",51.819,11.542,5.907,4.847
"(1, 4, 5)",44.266,7.202,47.221,27.967
"(1, 5, 1)",3.251,0.865,1.196,0.148
"(1, 5, 2)",-0.288,6.001,1.215,16.108
"(1, 5, 3)",9.679,4.925,1.277,22.998
"(1, 5, 4)",30.114,-2.666,17.011,-5.462
"(1, 5, 5)",12.174,-5.998,4.772,2.123
"(2, 1, 1)",3.452,5.525,0.605,5.301
"(2, 1, 2)",36.192,24.653,8.554,-0.452
"(2, 1, 3)",4.843,-0.336,6.550,-2.083
"(2, 1, 4)",-2.295,-1.352,-1.471,-2.805
"(2, 1, 5)",-0.426,-0.399,-1.532,-0.014
"(2, 2, 1)",0.930,6.142,-1.382,15.663
"(2, 2, 2)",19.558,33.289,4.882,30.049
"(2, 2, 3)",3.785,28.893,12.591,-1.367
"(2, 2, 4)",-1.953,0.602,-1.121,0.533
"(2, 2, 5)",-2.917,0.194,0.483,-0.473
"(2, 3, 1)",13.641,50.326,2.422,20.638
"(2, 3, 2)",21.436,16.399,41.446,13.628
"(2, 3, 3)",13.006,26.801,33.075,1.452
"(2, 3, 4)",-0.080,1.990,0.319,0.601
"(2, 3, 5)",-2.731,0.573,0.676,-2.514
"(2, 4, 2)",3.697,1.226,43.917,3.804
"(2, 4, 3)",0.027,-2.165,30.840,0.043
"(2, 4, 4)",0.129,-2.512,6.696,-5.739
"(2, 4, 5)",-2.457,-6.571,1.451,1.093
"(2, 5, 1)",1.142,0.015,-3.915,-1.909
"(2, 5, 2)",2.274,-6.206,-0.785,1.092
"(2, 5, 3)",-0.310,-4.029,3.224,-0.913
"(2, 5, 4)",-4.715,-9.441,2.558,-5.518
"(2, 5, 5)",-2.337,-7.745,-3.169,-9.249
"(3, 1, 1)",-4.086,-2.817,-2.738,-2.725
"(3, 1, 2)",-3.847,-3.834,-3.091,-2.357
"(3, 1, 3)",-1.629,-1.664,-2.590,-2.673
"(3, 1, 4)",-3.389,-1.821,-1.661,-1.450
"(3, 1, 5)",-2.408,0.501,-0.403,-1.515
"(3, 2, 1)",-2.750,-1.602,-2.897,-2.920
"(3, 2, 2)",-3.949,-0.474,-4.169,-2.316
"(3, 2, 3)",-2.940,4.412,-2.337,-1.955
"(3, 2, 4)",-1.718,-2.259,1.648,0.534
"(3, 2, 5)",-0.394,2.967,-0.324,0.012
"(3, 3, 1)",-1.043,0.693,-2.337,4.418
"(3, 3, 2)",-1.479,5.949,-1.267,16.909
"(3, 3, 3)",2.642,13.020,0.825,8.618
"(3, 3, 4)",2.303,9.341,2.260,5.901
"(3, 3, 5)",1.567,8.210,5.162,2.800
"(3, 4, 1)",3.800,23.252,16.414,32.135
"(3, 4, 2)",12.332,19.784,10.097,22.762
"(3, 4, 3)",1.940,22.586,1.843,11.534
"(3, 4, 4)",5.876,1.137,-1.418,14.823
"(3, 4, 5)",6.879,25.795,2.864,14.412
"(3, 5, 1)",2.643,1.302,-3.439,20.617
"(3, 5, 2)",11.466,4.745,-1.304,20.937
"(3, 5, 3)",5.188,0.250,8.187,28.112
"(3, 5, 4)",10.391,26.775,11.680,24.483
"(4, 1, 1)",-1.106,-1.182,-1.050,-0.149
"(4, 1, 2)",-1.227,-1.436,-1.314,0.988
"(4, 1, 3)",3.690,6.681,-0.977,20.366
"(4, 1, 4)",11.950,6.352,7.395,23.082
"(4, 2, 1)",-1.384,-0.738,-1.308,-1.074
"(4, 2, 2)",-1.382,-0.481,-1.269,5.665
"(4, 2, 3)",16.782,1.070,-1.150,1.809
"(4, 2, 4)",12.342,-0.263,3.880,6.568
"(4, 2, 5)",15.411,-0.738,3.067,2.471
"(4, 3, 1)",-1.118,1.805,-0.281,5.603
"(4, 3, 2)",3.804,-1.378,2.838,-2.154
"(4, 3, 3)",10.108,0.483,-0.299,-0.206
"(4, 3, 4)",15.774,-0.590,2.181,13.176
"(4, 3, 5)",10.964,9.540,12.912,11.489
"(4, 4, 1)",2.252,-1.902,-2.054,-1.197
"(4, 4, 2)",-2.481,-1.137,-1.895,-0.879
"(4, 4, 3)",6.237,0.294,-1.930,0.735
"(4, 4, 4)",3.695,-3.260,1.227,5.095
"(4, 4, 5)",11.759,-0.022,3.099,-4.625
"(4, 5, 1)",-1.984,-2.052,-2.692,-2.474
"(4, 5, 2)",-2.885,-3.553,-3.012,-0.664
"(4, 5, 3)",4.271,-5.238,-3.078,-2.732
"(4, 5, 4)",1.573,-6.308,-1.108,-3.422
"(4, 5, 5)",14.208,2.180,1.828,-5.121
"(5, 1, 5)",0.000,0.000,0.000,0.000